Período;Região;Instituição Hospitalar;Sigla;Ponto ou Localização Geográfica;Grupo;Despesa;N.º doentes;Custo Médio
2020-12;LVT;Centro Hospitalar de Lisboa Ocidental, EPE;CHLO;38.708454, -9.216985;Grupo E;14092335.55;3018.0;389.11905097194614
2020-12;Norte;Unidade Local de Saúde do Alto Minho, EPE;ULSAM;41.7056054, -8.8252713;Grupo C;1418988.34;262.0;451.33216921119595
2020-12;Norte;Hospital de Braga, EPE;HdB;41.567781, -8.399268;Grupo D;4364319.12;807.0;450.6731846344486
2021-12;LVT;Centro Hospitalar de Lisboa Ocidental, EPE;CHLO;38.708454, -9.216985;Grupo E;15506349.73;3074.0;420.3629833550206
2021-12;Norte;Centro Hospitalar Universitário de São João, EPE;CHUSJ;41.1831056, -8.6010558;Grupo E;11494628.7;2971.0;322.41188993604845
2021-12;Norte;Unidade Local de Saúde do Alto Minho, EPE;ULSAM;41.7056054, -8.8252713;Grupo C;1534668.01;263.0;486.2699651457541
2021-12;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, EPE;CHTMAD;41.3031784, -7.7515252;Grupo D;1262826.45;336.0;313.2010044642857
2021-12;Centro;Centro Hospitalar Tondela-Viseu, EPE.;CHTV;40.516364, -8.0827433;Grupo D;1829016.55;351.0;434.2394468186135
2021-12;Norte;Hospital da Senhora da Oliveira Guimarães, EPE;HSOG;41.4387173, -8.3086907;Grupo C;1876826.71;370.0;422.7087184684685
2022-12;LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;CHULN;38.7500861, -9.1616116;Grupo E;22065657.87;4839.0;379.9968635048564
2022-12;LVT;Hospital Prof. Doutor Fernando Fonseca, EPE;HFF;38.7422257, -9.2264834;Grupo D;16642726.51;3491.0;397.2769624271937
2022-12;Centro;Centro Hospitalar e Universitário de Coimbra, EPE;CHUC;40.2191523, -8.4098211;Grupo E;12455756.5;3013.0;344.500401039938
2022-12;LVT;Centro Hospitalar do Oeste, EPE;CHO;39.4054629, -9.1258493;Grupo B;2625982.01;517.0;423.2724065119277
2022-12;Norte;Hospital de Braga, EPE;HdB;41.567781, -8.399268;Grupo D;4832126.31;995.0;404.7006959798995
2023-12;LVT;Centro Hospitalar de Lisboa Ocidental, EPE;CHLO;38.708454, -9.216985;Grupo E;16374106.67;3238.0;421.40484532633315
2023-12;Norte;Unidade Local de Saúde de Matosinhos, EPE;ULSM;41.1794456, -8.6745115;Grupo C;5518022.54;1226.0;375.06950380641655
2024-03;;Unidade Local de Saúde do Estuário do Tejo, E. P. E.;ULSET;38.952565, -8.992398;Grupo C;606750.51;410.0;493.29309756097564
2024-03;;Unidade Local de Saúde de Gaia/Espinho, E.P.E.;ULSGE;41.1094138, -8.5972617;Grupo D;2062192.57;1317.0;521.9419311566692
2024-03;;Unidade Local de Saúde de Coimbra, E. P. E.;ULSC;40.2191523, -8.4098211;Grupo E;3494546.83;2974.0;391.6775196144362
2025-03;;Unidade Local de Saúde de Almada-Seixal, E. P. E.;ULSASe;38.6658713, -9.1822554;Grupo D;2950553.35;2211.0;444.82939092416706
2025-03;;Unidade Local de Saúde de Santa Maria, E. P. E.;ULSSM;38.7500861, -9.1616116;Grupo E;6152187.1;3411.0;601.2105052281833
2025-03;;Unidade Local de Saúde de São João, E. P. E.;ULSSJo;41.1831056, -8.6010558;Grupo E;4063530.15;2982.0;454.22872233400403
